type;class_name;annotation_description;member_name
class;com.azure.ai.agents.models.TeamsPhoneExtensionTelephonyBinding;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TeamsPhoneExtensionTelephonyBindingListItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TeamsTelephonyTransferDestination;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyBinding;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyBindingListItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyBindingStatus;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallDurationBasis;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallEndReason;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallJob;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallJobCancellation;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallJobSchedule;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallJobStatus;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallJobTerminalReason;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallLifecycleEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallLifecycleEventName;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallLifecycleEventOutcome;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallLifecycleEventReason;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallLifecycleEventSource;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallPhase;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallRecord;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallStatus;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallSummary;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallTimestampSource;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallTiming;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallTrace;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallTraceMode;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyCallTraceStatus;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyOutboundDestination;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyOutboundDestinationType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyOutboundFixedIntervalRetryPolicy;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyOutboundRetryPolicy;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyOutboundRetryPolicyType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyProvider;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyTransferDestination;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyTransferDestinationKind;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyTransferTarget;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TelephonyTransferTargets;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.ToolboxSearchPreviewToolboxTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.TranscriptionLanguage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TranscriptTextUsageDuration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TranscriptTextUsageTokens;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TranscriptTextUsageTokensInputTokenDetails;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TwilioTelephonyBinding;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.TwilioTelephonyBindingListItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.UpdateTelephonyBindingRequest;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.UserProfileMemoryItem;Preview API. MemoryStores=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAnimationConfig;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAnimationOutputType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAudioConfig;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAudioInputConfig;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAudioOutputConfig;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAudioTimestampType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarConfig;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarIceServer;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarOutputProtocol;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarScene;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarVideoBackground;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarVideoCrop;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarVideoParams;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAvatarVideoResolution;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAzureSemanticVadEnTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAzureSemanticVadMultilingualTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentAzureSemanticVadTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentClientEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentClientEventRtcCallSdpCreate;Preview API. VoiceAgents=V1Preview;
